URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
1,https://insights.blackcoffer.com/how-is-login-logout-time-tracking-for-employees-in-office-done-by-ai/,17,9,0.30769229585798863,0.036619718258282086,31,0.21,12.48,31,149,408,2,4,6
2,https://insights.blackcoffer.com/how-does-ai-help-to-monitor-retail-shelf-watches/,27,7,0.5882352768166096,0.05405405396811756,23,0.24,9.3,23,149,375,2,2,6
3,https://insights.blackcoffer.com/ai-and-its-impact-on-the-fashion-industry/,89,21,0.6181818125619836,0.060840707930950935,24,0.24,9.7,24,440,1066,2,13,6
4,https://insights.blackcoffer.com/how-do-deep-learning-models-predict-old-and-new-drugs-that-are-successfully-treated-in-healthcare/,14,0,0.9999999285714337,0.03278688516911737,30,0.24,12.1,30,102,246,2,1,6
5,https://insights.blackcoffer.com/how-artificial-intelligence-can-boost-your-productivity-level/,29,8,0.567567552227904,0.054572271305940605,21,0.23,8.49,21,159,386,2,20,6
6,https://insights.blackcoffer.com/how-are-genetic-sequencing-maps-affected-by-deep-learning-and-ai/,50,13,0.58730157797934,0.0564010742556839,24,0.29,9.72,24,319,687,2,3,6
7,https://insights.blackcoffer.com/how-is-ai-used-to-solve-traffic-management/,64,46,0.16363636214876034,0.08301886786187254,22,0.28,8.91,22,365,878,2,1,7
8,https://insights.blackcoffer.com/benefits-of-big-data-in-different-fields/,48,14,0.5483870879292405,0.048136645925359746,24,0.27,9.71,24,350,780,2,9,6
9,https://insights.blackcoffer.com/how-big-data-will-impact-the-future-of-business/,70,12,0.7073170645449138,0.06193353469642482,19,0.26,7.7,19,348,807,2,3,6
10,https://insights.blackcoffer.com/how-will-ai-make-decisions-in-tomorrows-wars/,27,24,0.05882352825836219,0.08542713553529793,18,0.22,7.29,18,133,333,2,2,6
11,https://insights.blackcoffer.com/which-one-is-better-ai-or-big-data/,34,4,0.7894736634349037,0.05956112843328977,22,0.26,8.9,22,164,379,2,3,6
12,https://insights.blackcoffer.com/how-robots-can-help-in-e-learning-platforms/,35,30,0.07692307573964499,0.04973221113256908,20,0.17,8.07,20,220,694,2,30,6
13,https://insights.blackcoffer.com/how-does-big-data-help-in-finance-and-the-growth-of-large-firms/,9,5,0.2857142653061239,0.03406326025775362,16,0.26,6.5,16,107,250,2,0,6
14,https://insights.blackcoffer.com/future-of-work-robot-ai-and-automation/,25,7,0.5624999824218756,0.05755395673101806,25,0.25,10.1,25,138,309,2,5,6
15,https://insights.blackcoffer.com/how-ai-will-help-the-defense-power-of-a-country/,47,53,-0.05999999940000001,0.07142857137755101,16,0.23,6.49,16,316,765,2,11,6
16,https://insights.blackcoffer.com/future-of-ai-and-machine-roles-in-the-medical-sector/,40,15,0.4545454462809919,0.05933117577202678,27,0.21,10.88,27,199,489,2,6,6
17,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,93,37,0.43076922745562135,0.07214206433288453,25,0.29,10.12,25,518,1150,2,1,7
18,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,88,38,0.39682539367598896,0.0881118880502714,22,0.19,8.88,22,267,748,2,7,6
19,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,76,42,0.288135590778512,0.06953447255772865,20,0.28,8.11,20,483,986,2,3,6
20,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,83,31,0.4561403468759619,0.07192429017544208,19,0.19,7.68,19,302,863,2,18,6
21,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,73,29,0.4313725447904653,0.06021251472242472,24,0.22,9.69,24,377,928,2,16,6
22,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,59,27,0.372093018929151,0.06907630516540054,25,0.2,10.08,25,249,652,2,21,6
23,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,32,11,0.48837208166576557,0.05906593398479954,17,0.24,6.9,17,178,402,2,7,6
24,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,70,41,0.26126125890755625,0.07419786091296934,23,0.2,9.28,23,306,818,2,18,6
25,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,44,14,0.5172413703923902,0.08146067404289231,22,0.18,8.87,22,129,380,2,2,6
26,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,88,45,0.3233082682458025,0.06084172000876408,28,0.22,11.29,28,482,1196,2,11,6
27,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,58,73,-0.1145038159198182,0.06923890059765385,21,0.24,8.5,21,450,1073,2,1,6
28,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,47,24,0.3239436574092443,0.06022052581830319,22,0.28,8.91,22,328,679,2,10,6
29,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,50,31,0.23456789833866792,0.06683168311317517,17,0.23,6.89,17,273,723,2,6,6
30,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,77,26,0.49514562626072206,0.061200237634462126,29,0.19,11.68,29,326,828,2,32,6
31,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,81,22,0.5728155284192668,0.0668397144277484,21,0.23,8.49,21,358,862,2,11,6
32,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,29,0,0.9999999655172426,0.057539682425516506,24,0.29,9.72,24,148,306,2,0,6
